Server,#abc1,abc1
Server,#abc2,abc2
Server,#abc3,abc3
User,#user1,user1,0,0,#for3
User,#user2,user2,0,1,#for48
User,#user3,user3,1,0,#for29
User,#user4,user4,0,0,#for25
User,#user5,user5,1,0,#for12
User,#user6,user6,0,1,#for48
User,#user7,user7,0,0,#for45
User,#user8,user8,1,1,#for30
User,#user9,user9,0,0,#for35
User,#user10,user10,1,0,#for22
User,#user11,user11,1,1,#for15
User,#user12,user12,1,1,#for31
User,#user13,user13,0,1,#for34
User,#user14,user14,1,0,#for46
User,#user15,user15,0,0,#for25
User,#user16,user16,1,1,#for1
User,#user17,user17,1,1,#for37
User,#user18,user18,1,1,#for35
User,#user19,user19,1,0,#for16
User,#user20,user20,1,1,#for20
User,#user21,user21,1,1,#for42
User,#user22,user22,1,1,#for10
User,#user23,user23,0,0,#for11
User,#user24,user24,0,0,#for24
User,#user25,user25,0,0,#for29
User,#user26,user26,1,0,#for33
User,#user27,user27,0,0,#for39
User,#user28,user28,0,0,#for15
User,#user29,user29,1,1,#for32
User,#user30,user30,1,1,#for25
User,#user31,user31,1,0,#for48
User,#user32,user32,1,1,#for14
User,#user33,user33,0,1,#for36
User,#user34,user34,0,0,#for29
User,#user35,user35,0,1,#for29
User,#user36,user36,1,1,#for29
User,#user37,user37,0,0,#for1
User,#user38,user38,1,0,#for21
User,#user39,user39,0,0,#for32
User,#user40,user40,1,0,#for3
User,#user41,user41,1,1,#for29
User,#user42,user42,1,0,#for18
User,#user43,user43,0,0,#for5
User,#user44,user44,0,0,#for44
User,#user45,user45,0,0,#for46
User,#user46,user46,0,1,#for44
User,#user47,user47,1,1,#for49
User,#user48,user48,0,1,#for15
User,#user49,user49,0,0,#for49
User,#user50,user50,0,1,#for18
User,#user51,user51,0,1,#for31
User,#user52,user52,1,1,#for39
User,#user53,user53,1,1,#for15
User,#user54,user54,1,1,#for18
User,#user55,user55,0,1,#for25
User,#user56,user56,1,1,#for8
User,#user57,user57,0,1,#for8
User,#user58,user58,1,1,#for26
User,#user59,user59,0,0,#for36
User,#user60,user60,0,0,#for21
User,#user61,user61,0,0,#for42
User,#user62,user62,1,0,#for6
User,#user63,user63,0,0,#for29
User,#user64,user64,0,0,#for27
User,#user65,user65,1,1,#for47
User,#user66,user66,1,1,#for42
User,#user67,user67,0,0,#for14
User,#user68,user68,1,0,#for12
User,#user69,user69,1,1,#for46
User,#user70,user70,1,0,#for46
User,#user71,user71,1,1,#for15
User,#user72,user72,0,0,#for35
User,#user73,user73,0,1,#for31
User,#user74,user74,0,0,#for12
User,#user75,user75,1,1,#for30
User,#user76,user76,0,1,#for40
User,#user77,user77,0,0,#for25
User,#user78,user78,1,0,#for12
User,#user79,user79,1,0,#for47
User,#user80,user80,0,1,#for5
User,#user81,user81,1,0,#for30
User,#user82,user82,1,0,#for43
User,#user83,user83,0,0,#for29
User,#user84,user84,0,0,#for47
User,#user85,user85,1,1,#for16
User,#user86,user86,0,1,#for18
User,#user87,user87,0,0,#for7
User,#user88,user88,1,1,#for37
User,#user89,user89,0,0,#for28
User,#user90,user90,0,1,#for1
User,#user91,user91,0,0,#for39
User,#user92,user92,0,1,#for4
User,#user93,user93,1,0,#for22
User,#user94,user94,1,0,#for2
User,#user95,user95,1,0,#for23
User,#user96,user96,0,1,#for48
User,#user97,user97,0,1,#for10
User,#user98,user98,1,1,#for2
User,#user99,user99,0,1,#for18
User,#user100,user100,1,1,#for14
User,#user101,user101,1,0,#for11
User,#user102,user102,0,1,#for6
User,#user103,user103,0,1,#for43
User,#user104,user104,0,0,#for22
User,#user105,user105,0,1,#for5
User,#user106,user106,1,1,#for25
User,#user107,user107,1,0,#for16
User,#user108,user108,0,1,#for42
User,#user109,user109,1,0,#for45
User,#user110,user110,0,0,#for26
User,#user111,user111,1,0,#for42
User,#user112,user112,0,1,#for48
User,#user113,user113,0,0,#for4
User,#user114,user114,0,1,#for27
User,#user115,user115,1,0,#for5
User,#user116,user116,0,1,#for34
User,#user117,user117,0,1,#for46
User,#user118,user118,0,1,#for13
User,#user119,user119,1,1,#for32
User,#user120,user120,1,0,#for14
User,#user121,user121,1,1,#for33
User,#user122,user122,0,0,#for12
User,#user123,user123,1,1,#for47
User,#user124,user124,1,1,#for20
User,#user125,user125,1,1,#for7
User,#user126,user126,1,1,#for34
User,#user127,user127,1,0,#for42
User,#user128,user128,0,0,#for35
User,#user129,user129,1,1,#for41
User,#user130,user130,0,1,#for11
User,#user131,user131,1,0,#for13
User,#user132,user132,0,0,#for17
User,#user133,user133,0,1,#for14
User,#user134,user134,0,1,#for11
User,#user135,user135,0,0,#for31
User,#user136,user136,1,1,#for42
User,#user137,user137,0,1,#for29
User,#user138,user138,0,1,#for18
User,#user139,user139,1,0,#for2
User,#user140,user140,0,0,#for8
User,#user141,user141,1,0,#for3
User,#user142,user142,1,0,#for2
User,#user143,user143,1,0,#for6
User,#user144,user144,0,0,#for11
User,#user145,user145,0,1,#for37
User,#user146,user146,0,1,#for20
User,#user147,user147,0,1,#for22
User,#user148,user148,0,1,#for44
User,#user149,user149,1,1,#for3
User,#user150,user150,0,0,#for3
User,#user151,user151,1,0,#for47
User,#user152,user152,0,1,#for20
User,#user153,user153,1,1,#for43
User,#user154,user154,0,1,#for29
User,#user155,user155,0,1,#for35
User,#user156,user156,0,0,#for3
User,#user157,user157,0,1,#for14
User,#user158,user158,0,1,#for36
User,#user159,user159,0,0,#for44
User,#user160,user160,1,1,#for2
User,#user161,user161,0,0,#for47
User,#user162,user162,1,1,#for23
User,#user163,user163,0,0,#for47
User,#user164,user164,1,0,#for23
User,#user165,user165,0,0,#for2
User,#user166,user166,0,1,#for41
User,#user167,user167,0,0,#for29
User,#user168,user168,1,0,#for36
User,#user169,user169,0,0,#for31
User,#user170,user170,1,0,#for11
User,#user171,user171,0,0,#for44
User,#user172,user172,0,0,#for24
User,#user173,user173,1,1,#for15
User,#user174,user174,1,1,#for6
User,#user175,user175,0,1,#for5
User,#user176,user176,1,1,#for17
User,#user177,user177,1,1,#for21
User,#user178,user178,1,1,#for42
User,#user179,user179,1,1,#for8
User,#user180,user180,1,0,#for18
User,#user181,user181,0,0,#for3
User,#user182,user182,0,1,#for31
User,#user183,user183,1,0,#for24
User,#user184,user184,0,0,#for2
User,#user185,user185,0,1,#for24
User,#user186,user186,1,0,#for33
User,#user187,user187,1,1,#for50
User,#user188,user188,0,1,#for50
User,#user189,user189,0,1,#for43
User,#user190,user190,0,0,#for5
User,#user191,user191,1,0,#for32
User,#user192,user192,0,1,#for40
User,#user193,user193,1,1,#for13
User,#user194,user194,1,1,#for10
User,#user195,user195,1,0,#for29
User,#user196,user196,1,0,#for45
User,#user197,user197,1,0,#for16
User,#user198,user198,1,0,#for32
User,#user199,user199,0,1,#for28
User,#user200,user200,0,0,#for30
Chat,#for1,chat1,#abc3
Chat,#for2,chat2,#abc3
Chat,#for3,chat3,#abc1
Chat,#for4,chat4,#abc2
Chat,#for5,chat5,#abc1
Chat,#for6,chat6,#abc2
Chat,#for7,chat7,#abc3
Chat,#for8,chat8,#abc3
Chat,#for9,chat9,#abc3
Chat,#for10,chat10,#abc1
Chat,#for11,chat11,#abc1
Chat,#for12,chat12,#abc2
Chat,#for13,chat13,#abc3
Chat,#for14,chat14,#abc3
Chat,#for15,chat15,#abc1
Chat,#for16,chat16,#abc1
Chat,#for17,chat17,#abc3
Chat,#for18,chat18,#abc2
Chat,#for19,chat19,#abc2
Chat,#for20,chat20,#abc1
Chat,#for21,chat21,#abc1
Chat,#for22,chat22,#abc2
Chat,#for23,chat23,#abc2
Chat,#for24,chat24,#abc1
Chat,#for25,chat25,#abc2
Chat,#for26,chat26,#abc2
Chat,#for27,chat27,#abc1
Chat,#for28,chat28,#abc2
Chat,#for29,chat29,#abc3
